calc_time,funding_interval_hours,funding_rate
1616054400000,8,0.00099333
1616083200000,8,0.00185766
1616112000011,8,0.0002296
1616140800001,8,0.00044739
1616169600000,8,0.00018788
1616198400000,8,0.00011949
1616227200000,8,0.0001
1616256000007,8,0.00027957
1616284800000,8,0.00012712
1616313600000,8,0.0001
1616342400000,8,0.0001
1616371200007,8,0.0001
1616400000001,8,-0.00015996
1616428800000,8,0.00018783
1616457600000,8,0.0001
1616486400010,8,0.0001
1616515200023,8,7.387e-05
1616544000002,8,0.0001
1616572800000,8,0.0001
1616601600000,8,0.0001
1616630400000,8,0.0001
1616659200000,8,0.0001
1616688000000,8,0.0001
1616716800008,8,0.0001
1616745600000,8,0.0001
1616774400012,8,0.00031536
1616803200018,8,0.0001
1616832000000,8,0.00014263
1616860800001,8,0.00034532
1616889600000,8,0.000344
1616918400000,8,0.00033489
1616947200005,8,0.00081974
1616976000003,8,0.00085582
1617004800000,8,0.00075959
1617033600000,8,0.00077512
1617062400018,8,0.00045834
1617091200012,8,0.00119744
1617120000001,8,0.00134349
1617148800000,8,0.00089395
1617177600000,8,0.00054855
1617206400000,8,0.00057877
1617235200025,8,0.00103263
1617264000011,8,0.00104792
1617292800004,8,0.00084334
1617321600000,8,0.000564
1617350400000,8,0.00150169
1617379200000,8,0.00096656
1617408000003,8,0.00090108
1617436800000,8,0.00142513
1617465600000,8,0.00167753
1617494400000,8,0.00016572
1617523200000,8,0.00080358
1617552000016,8,0.0001
1617580800000,8,0.00085227
1617609600001,8,0.00012199
1617638400001,8,0.00136006
1617667200010,8,0.00140962
1617696000000,8,0.00149504
1617724800003,8,0.00046872
1617753600000,8,0.0001
1617782400006,8,0.0001
1617811200004,8,0.0001
1617840000013,8,0.00030698
1617868800003,8,0.0001
1617897600005,8,0.00017952
1617926400000,8,0.0001
1617955200004,8,0.0001
1617984000004,8,0.00027232
1618012800011,8,0.0001
1618041600005,8,0.00091825
1618070400000,8,0.00083453
1618099200004,8,0.00076444
1618128000000,8,0.00076346
1618156800000,8,0.00042257
1618185600001,8,0.00113291
1618214400001,8,0.00086506
1618243200008,8,0.00065468
1618272000003,8,0.00065355
1618300800008,8,0.00106733
1618329600008,8,0.00161617
1618358400008,8,0.00082883
1618387200000,8,0.00150253
1618416000012,8,0.0005878
1618444800006,8,0.0010579
1618473600000,8,0.00141831
1618502400008,8,0.00054664
1618531200008,8,0.00074493
1618560000000,8,0.00063461
1618588800002,8,0.0017762
1618617600008,8,0.00114295
1618646400000,8,0.00069825
1618675200001,8,0.00098868
1618704000006,8,0.00069042
1618732800004,8,-0.00081587
1618761600000,8,0.0003846
1618790400000,8,0.00011935
1618819200000,8,0.00052771
1618848000009,8,0.0001
1618876800004,8,0.00069128
1618905600000,8,0.00031573
1618934400001,8,0.00013798
1618963200013,8,0.0001
1618992000001,8,0.00029116
1619020800002,8,0.0001
1619049600000,8,0.0001
1619078400000,8,0.0001
1619107200001,8,0.0001
1619136000002,8,0.0001
1619164800009,8,0.00022517
1619193600001,8,0.0001
1619222400019,8,0.0001
1619251200001,8,0.0001
1619280000011,8,0.0001
1619308800000,8,0.0001
1619337600010,8,0.0001537
1619366400000,8,5.25e-05
1619395200003,8,0.0001
1619424000002,8,0.0001
1619452800004,8,0.0001
1619481600000,8,0.00041422
1619510400000,8,0.00028532
1619539200009,8,0.00055267
1619568000000,8,0.00067111
1619596800000,8,0.00018219
1619625600001,8,0.0002257
1619654400004,8,0.0001
1619683200013,8,0.00047434
1619712000003,8,0.00013104
1619740800004,8,0.00019041
1619769600019,8,0.00045193
1619798400003,8,0.00034639
1619827200002,8,0.00050075
1619856000006,8,0.00104765
1619884800000,8,0.00040718
1619913600010,8,0.0004006
1619942400011,8,0.00061887
1619971200007,8,0.00062817
1620000000003,8,0.00027681
1620028800000,8,0.00047332
1620057600043,8,0.00068101
1620086400004,8,0.00089378
1620115200003,8,0.00033292
1620144000011,8,0.00048984
1620172800001,8,0.00021686
1620201600007,8,0.00060678
1620230400001,8,0.00075134
1620259200003,8,0.00077937
1620288000001,8,0.00117706
1620316800000,8,0.00172483
1620345600000,8,0.00090695
1620374400000,8,0.00086546
1620403200001,8,0.00119054
1620432000006,8,0.00075413
1620460800000,8,0.00082146
1620489600000,8,0.00072061
1620518400005,8,0.00043005
1620547200016,8,0.00044195
1620576000000,8,0.00057052
1620604800004,8,0.00057419
1620633600000,8,0.00074243
1620662400013,8,0.00111008
1620691200000,8,0.0001
1620720000000,8,0.0001
1620748800002,8,0.00037151
1620777600004,8,0.0001
1620806400007,8,0.00036144
1620835200012,8,0.00034871
1620864000016,8,0.00022113
1620892800000,8,0.0001
1620921600008,8,0.0001
1620950400007,8,0.0001
1620979200001,8,0.0001
1621008000004,8,0.00014439
1621036800022,8,0.0002179
1621065600014,8,0.00039831
1621094400002,8,0.00046368
1621123200000,8,0.00014056
1621152000003,8,0.00057802
1621180800002,8,0.00044938
1621209600005,8,0.00063116
1621238400001,8,0.0003684
1621267200000,8,0.00040371
1621296000019,8,0.0001
1621324800001,8,0.00021292
1621353600006,8,0.00048279
1621382400000,8,0.0001
1621411200003,8,0.00023608
1621440000018,8,-0.00536402
