calc_time,funding_interval_hours,funding_rate
1616083200000,8,0.00032547
1616112000011,8,0.00032006
1616140800001,8,0.00012887
1616169600000,8,0.0003326
1616198400000,8,0.0004928
1616227200000,8,0.00044452
1616256000007,8,0.00048936
1616284800000,8,0.00031366
1616313600000,8,0.00042375
1616342400000,8,0.0001
1616371200007,8,0.00051919
1616400000001,8,0.00045562
1616428800000,8,0.00048977
1616457600000,8,0.0002421
1616486400010,8,0.00026619
1616515200023,8,0.00042245
1616544000002,8,0.00053454
1616572800000,8,0.00016567
1616601600000,8,0.00026422
1616630400000,8,0.00011828
1616659200000,8,0.0001
1616688000000,8,0.0001
1616716800008,8,0.00016
1616745600000,8,0.0001
1616774400012,8,0.0001
1616803200018,8,0.0001
1616832000000,8,0.0001
1616860800001,8,0.0001
1616889600000,8,0.0001
1616918400000,8,0.0001
1616947200005,8,0.0001
1616976000003,8,0.0001
1617004800000,8,0.0001
1617033600000,8,0.00018171
1617062400018,8,0.00032026
1617091200012,8,0.00027258
1617120000001,8,0.00083501
1617148800000,8,0.00080754
1617177600000,8,0.00070889
1617206400000,8,0.00058414
1617235200025,8,0.00109277
1617264000011,8,0.00095247
1617292800004,8,0.00051932
1617321600000,8,0.00071058
1617350400000,8,0.00106221
1617379200000,8,0.0010197
1617408000003,8,0.00063267
1617436800000,8,0.00107843
1617465600000,8,0.00101313
1617494400000,8,0.0005209
1617523200000,8,0.00048495
1617552000016,8,0.00026521
1617580800000,8,0.00039464
1617609600001,8,0.00043217
1617638400001,8,0.00037409
1617667200010,8,0.00097189
1617696000000,8,0.00057776
1617724800003,8,0.00083736
1617753600000,8,0.00057609
1617782400006,8,0.00053749
1617811200004,8,0.0005366
1617840000013,8,0.00040784
1617868800003,8,0.00024943
1617897600005,8,0.00026225
1617926400000,8,0.00019611
1617955200004,8,0.00026301
1617984000004,8,0.00021785
1618012800011,8,0.00012959
1618041600005,8,0.00148624
1618070400000,8,0.00119652
1618099200004,8,0.00086735
1618128000000,8,0.00099427
1618156800000,8,0.00105998
1618185600001,8,0.00093793
1618214400001,8,0.00106358
1618243200008,8,0.00094343
1618272000003,8,0.00084072
1618300800008,8,0.00089928
1618329600008,8,0.0012267
1618358400008,8,0.00090508
1618387200000,8,0.00108567
1618416000012,8,0.00104786
1618444800006,8,0.00076335
1618473600000,8,0.00082082
1618502400008,8,0.00110324
1618531200008,8,0.00109647
1618560000000,8,0.00120022
1618588800002,8,0.00115519
1618617600008,8,0.00054906
1618646400000,8,0.00054007
1618675200001,8,0.00087572
1618704000006,8,0.00081624
1618732800004,8,0.00058448
1618761600000,8,0.0001
1618790400000,8,0.0001
1618819200000,8,0.0001
1618848000009,8,0.0001
1618876800004,8,0.0001
1618905600000,8,0.0001
1618934400001,8,0.0001
1618963200013,8,0.0001
1618992000001,8,0.0001
1619020800002,8,0.0001
1619049600000,8,0.0001
1619078400000,8,0.0001
1619107200001,8,0.0001
1619136000002,8,0.0001
1619164800009,8,0.00047618
1619193600001,8,0.0001
1619222400019,8,0.0001
1619251200001,8,0.00027672
1619280000011,8,0.0001676
1619308800000,8,0.000217
1619337600010,8,0.00038558
1619366400000,8,0.0001
1619395200003,8,0.0001
1619424000002,8,0.0001
1619452800004,8,0.0001
1619481600000,8,0.0001
1619510400000,8,0.0001
1619539200009,8,0.0001
1619568000000,8,0.0001
1619596800000,8,0.0001
1619625600001,8,0.0001
1619654400004,8,0.0001
1619683200013,8,0.0001
1619712000003,8,0.0001
1619740800004,8,0.0001
1619769600019,8,0.0001
1619798400003,8,0.0001
1619827200002,8,0.00011209
1619856000006,8,0.0001
1619884800000,8,0.00032496
1619913600010,8,0.00015819
1619942400011,8,0.00045285
1619971200007,8,0.00045283
1620000000003,8,0.00040313
1620028800000,8,0.00036188
1620057600043,8,0.00067307
1620086400004,8,0.00050959
1620115200003,8,0.00012186
1620144000011,8,0.00066426
1620172800001,8,0.00044701
1620201600007,8,0.00042458
1620230400001,8,0.00011734
1620259200003,8,0.00076121
1620288000001,8,0.00059968
1620316800000,8,0.0009352
1620345600000,8,0.00044645
1620374400000,8,0.00053313
1620403200001,8,0.00017144
1620432000006,8,0.0005937
1620460800000,8,0.00046279
1620489600000,8,0.00046426
1620518400005,8,0.00048942
1620547200016,8,0.00043845
1620576000000,8,0.00063864
1620604800004,8,0.00033531
1620633600000,8,0.00090258
1620662400013,8,0.00098653
1620691200000,8,0.00039557
1620720000000,8,0.00050874
1620748800002,8,0.00025625
1620777600004,8,0.00016659
1620806400007,8,0.00033736
1620835200012,8,0.00039761
1620864000016,8,0.00011638
1620892800000,8,0.0001
1620921600008,8,0.00022863
1620950400007,8,0.0004004
1620979200001,8,0.00035219
1621008000004,8,0.00015069
1621036800022,8,0.0001
1621065600014,8,0.00010123
1621094400002,8,0.00020153
1621123200000,8,0.00040248
1621152000003,8,0.00016682
1621180800002,8,0.00036196
1621209600005,8,0.0001
1621238400001,8,0.00063989
1621267200000,8,0.00059294
1621296000019,8,0.00054643
1621324800001,8,0.00014723
1621353600006,8,0.00021809
1621382400000,8,0.0001
1621411200003,8,0.00035813
1621440000018,8,-0.00089697
1621468800005,8,0.0001
1621497600000,8,0.0001
1621526400005,8,0.0001
1621555200000,8,0.0001
1621584000000,8,-1.001e-05
1621612800001,8,7.546e-05
1621641600001,8,-0.00024448
1621670400002,8,0.0001
1621699200005,8,0.0001
1621728000006,8,-5.011e-05
1621756800004,8,-1.059e-05
1621785600002,8,4.696e-05
1621814400007,8,-8.534e-05
1621843200005,8,-9.905e-05
1621872000005,8,2.089e-05
1621900800000,8,0.0001
1621929600014,8,0.0001
1621958400000,8,0.0001
1621987200022,8,0.0001
1622016000018,8,0.0001
1622044800004,8,0.0001
1622073600000,8,0.0001
1622102400017,8,0.0001
1622131200000,8,0.0001
1622160000005,8,0.0001
1622188800009,8,0.0001
1622217600000,8,0.0001
1622246400006,8,0.0001
1622275200000,8,0.0001
1622304000000,8,0.00010375
1622332800003,8,0.0001
1622361600004,8,0.0001
1622390400018,8,0.0001
1622419200002,8,0.0001
1622448000000,8,0.0001
1622476800000,8,0.0001
1622505600001,8,0.0001
1622534400010,8,0.0001
1622563200010,8,0.0001
1622592000008,8,0.0001
1622620800000,8,0.0001
1622649600007,8,0.0001
1622678400019,8,0.0001
1622707200002,8,0.0001
1622736000003,8,0.0001
1622764800003,8,0.0001
1622793600006,8,0.00020566
1622822400002,8,0.0001
1622851200000,8,0.0001
1622880000004,8,0.0001
1622908800020,8,0.0001
1622937600000,8,0.0001
1622966400004,8,0.0001
1622995200000,8,0.0001
1623024000007,8,0.0001
1623052800007,8,0.0001
1623081600003,8,0.0001
1623110400000,8,0.0001
1623139200000,8,1.015e-05
1623168000002,8,0.0001
1623196800009,8,0.0001
1623225600002,8,-5.397e-05
1623254400000,8,-0.00014842
1623283200007,8,-0.00016793
1623312000003,8,6.027e-05
1623340800000,8,0.0001
1623369600010,8,0.0001
1623398400007,8,2.612e-05
1623427200006,8,4.776e-05
1623456000005,8,-7.78e-05
1623484800000,8,0.0001
1623513600018,8,-8.14e-06
1623542400002,8,9.64e-05
1623571200000,8,2.852e-05
1623600000003,8,-6.559e-05
1623628800000,8,0.0001
1623657600015,8,0.0001
1623686400000,8,-3.144e-05
1623715200000,8,8.002e-05
1623744000000,8,0.0001
1623772800004,8,0.0001
1623801600004,8,0.0001
1623830400001,8,0.0001
1623859200000,8,0.0001
1623888000004,8,0.0001
1623916800000,8,0.0001
1623945600002,8,0.0001
1623974400009,8,5.342e-05
1624003200014,8,3.45e-06
1624032000007,8,0.0001
1624060800003,8,-5.205e-05
1624089600001,8,-9.441e-05
1624118400000,8,7.475e-05
1624147200005,8,0.0001
1624176000000,8,0.0001
1624204800002,8,-0.00018437
1624233600019,8,-1.617e-05
1624262400000,8,0.0001
1624291200024,8,-0.00019854
1624320000008,8,7.947e-05
1624348800009,8,0.0001
1624377600001,8,-0.00032806
1624406400003,8,6.7e-07
1624435200000,8,-0.00013693
1624464000000,8,-0.00019895
1624492800009,8,-7.785e-05
1624521600018,8,0.0001
1624550400001,8,-0.00018863
1624579200009,8,2.372e-05
1624608000004,8,0.0001
1624636800000,8,0.0001
1624665600007,8,-0.00011029
1624694400000,8,-0.00013121
1624723200002,8,-0.00010371
1624752000005,8,-0.00023578
1624780800010,8,-0.00052905
1624809600001,8,-0.00026102
1624838400025,8,-2.914e-05
1624867200017,8,3.312e-05
1624896000007,8,0.0001
1624924800008,8,8.346e-05
1624953600000,8,0.0001
1624982400000,8,3.883e-05
1625011200011,8,0.0001
1625040000044,8,0.0001
1625068800005,8,0.0001
1625097600000,8,0.0001
1625126400004,8,0.0001
1625155200028,8,0.0001
1625184000002,8,8.304e-05
1625212800016,8,0.0001
1625241600007,8,-0.00012187
