date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_trades,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_trades,sol_open,sol_high,sol_low,sol_close,sol_volume,sol_trades,btc_funding_rate,eth_funding_rate,sol_funding_rate,btc_sum_open_interest,btc_sum_open_interest_value,btc_count_long_short_ratio,btc_sum_taker_long_short_vol_ratio,eth_sum_open_interest,eth_sum_open_interest_value,eth_count_long_short_ratio,eth_sum_taker_long_short_vol_ratio,sol_sum_open_interest,sol_sum_open_interest_value,sol_count_long_short_ratio,sol_sum_taker_long_short_vol_ratio
2021-01-11,38150.02,38264.74,30420.0,35404.47,249131.539943,4431451.0,1254.24,1260.0,915.0,1087.01,4068784.65678,2557613.0,3.4455,3.5282,2.5795,3.1016,8734261.68,92843.0,0.0007382766666666667,0.0009449266666666667,0.00040571666666666667,27582.309270833335,948839706.7185158,2.349267244236111,1.0026378653472223,,,,,,,,
2021-01-12,35410.37,36628.0,32531.0,34051.24,133948.151996,2674145.0,1087.0,1150.02,1006.33,1050.16,2302645.34052,1516625.0,3.1016,3.88,3.058,3.6354,7075911.68,155651.0,0.00046441999999999995,0.00037714333333333335,5.3083333333333334e-05,25857.70636111111,901824770.756616,2.0944650520486108,1.0432980900347222,,,,,,,,
2021-01-13,34049.15,37850.0,32380.0,37371.38,124477.914938,2514289.0,1050.36,1137.65,987.48,1129.89,1564202.39081,1123983.0,3.6354,3.637,3.2633,3.5242,5123655.8,99621.0,0.00035962666666666663,0.0002989166666666667,0.00023063666666666666,26151.863274305553,909473642.6784476,2.089734138854167,1.070745734826389,,,,,,,,
2021-01-14,37371.38,40100.0,36701.23,39144.5,102950.389421,2297466.0,1129.79,1247.55,1086.7,1231.62,1555737.38556,1255769.0,3.5243,3.5955,3.1814,3.2921,6422109.73,96919.0,0.0007315366666666667,0.0005958133333333333,0.0005007966666666666,28107.03173611111,1083053126.1729538,2.138067140902778,1.0743744488888889,,,,,,,,
2021-01-15,39145.21,39747.76,34408.0,36742.22,118300.920916,2560801.0,1231.89,1256.98,1069.42,1168.53,1944038.83738,1519266.0,3.2921,3.4489,2.9618,3.2475,4812542.83,74648.0,0.0007943199999999999,0.0005684133333333333,0.00039952333333333336,28800.686076388887,1080139656.4737263,1.952380273611111,1.0581287688541667,,,,,,,,
2021-01-16,36737.43,37950.0,35357.8,35994.98,86348.431508,2066363.0,1168.48,1298.0,1151.77,1227.83,1575384.43797,1252473.0,3.2479,3.7081,3.2463,3.4247,8562549.63,124687.0,0.00037023,0.00073845,0.0011492633333333334,27914.330465277777,1029255903.1318116,2.232228121597222,1.021599796875,,,,,,,,
2021-01-17,35994.98,36852.5,33850.0,35828.61,80157.727384,1860642.0,1227.83,1269.02,1165.0,1232.45,1317285.00579,1121278.0,3.4251,3.9876,3.3,3.8268,8531899.81,105174.0,0.00024461666666666666,0.0006921766666666667,0.00075941,27487.637555555557,980617025.7418526,2.0494739877430557,1.0746543649652778,,,,,,,,
2021-01-18,35824.99,37469.83,34800.0,36631.27,70698.11875,1707766.0,1232.5,1260.75,1182.58,1258.45,998050.11073,940604.0,3.8243,4.17,3.6167,3.7868,6226924.77,78131.0,0.0006941533333333334,0.00082319,0.00113757,28162.60598263889,1016334230.048793,2.4128967065625,1.084338178576389,,,,,,,,
2021-01-19,36622.46,37850.0,35844.06,35891.49,79611.307769,1939371.0,1258.52,1438.3,1251.49,1365.36,2278852.55758,1840481.0,3.7873,4.0498,3.6,3.6287,4768719.77,64919.0,0.0012007566666666668,0.0017301600000000003,0.0008454666666666667,28888.40609722222,1065932510.5341029,2.515155188125,1.0496516405902776,,,,,,,,
2021-01-20,35901.94,36415.31,33400.0,35468.23,89368.422918,2234539.0,1365.36,1407.93,1235.42,1376.99,2219137.62144,1852253.0,3.6288,3.7413,3.34,3.7166,4801640.28,74604.0,0.00040875666666666667,0.0009171333333333334,-4.906999999999999e-05,29949.159937269374,1051047784.5403224,2.3023287823247234,1.06071773199262,,,,,,,,
