date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_trades,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_trades,sol_open,sol_high,sol_low,sol_close,sol_volume,sol_trades,btc_funding_rate,eth_funding_rate,sol_funding_rate,btc_market_cap,eth_market_cap,sol_market_cap,fear_greed,btc_dominance,eth_dominance,USD_total_market_cap,USD_total_volume24h,USD_altcoin_market_cap,USD_altcoin_volume24h
2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.311183,2291646.0,1718.95,1743.67,1642.94,1676.35,1149808.33101,1152167.0,6.7001,6.8181,5.7,6.1225,5040208.25,112912.0,0.0006899333333333,0.0012269766666666,0.0015265066666666,732567000000.0,192871957551.13043,1598294182.446525,84.0,60.2552,16.7342,1176650523167.46,156414407919.21,467657100810.2,97908897260.57
2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.679763,1976357.0,1676.35,1693.0,1490.46,1611.62,1281734.86814,1263737.0,6.1219,6.8807,5.75,6.6976,5111066.89,100168.0,0.0010895766666666,0.0009599366666666,0.0002977233333333,726297000000.0,185142454684.4471,1747099686.4018211,86.0,61.1832,16.0859,1194592738676.8,164318443394.79,463702634501.52,92963409233.42
2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.536914,3230961.0,1611.46,1775.57,1563.89,1750.15,1339777.09536,1372788.0,6.6931,8.078,6.4554,7.855,6719151.08,119254.0,0.00122049,0.0011142833333333,0.00106754,858908000000.0,199773626601.28152,2075222825.3200552,83.0,61.1644,15.603,1184569745811.79,171306699712.46,460034487940.96,105792008440.68
2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.861712,3119034.0,1749.68,1821.88,1708.49,1769.13,1185071.89593,1173421.0,7.8651,8.4945,7.55,7.8005,4803489.37,92202.0,0.00159619,0.0018803233333333,0.0026697466666666,866894000000.0,202924057060.05548,2062242386.9855769,95.0,63.3904,14.7526,1356473377047.12,211946253650.01,496599072434.26,110802234251.86
2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.1822,2891592.0,1769.14,1837.86,1680.0,1740.78,1219932.25474,1279140.0,7.8005,9.09,7.26,9.09,4419421.79,103167.0,0.0013735333333333,0.00153335,0.00229951,839556000000.0,200355536883.19623,2361858483.091825,92.0,62.5384,14.636,1384154619947.43,208763683230.2,518525775114.27,116852910124.63
2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.081454,2570949.0,1740.76,1819.0,1703.44,1785.62,735079.82699,935602.0,9.0897,9.7425,8.72,9.2004,5694878.77,123562.0,0.0011130733333333,0.0010613533333333,0.0014768,892023000000.0,204662692140.0644,2402846351.7985945,93.0,61.0014,14.5752,1370856155170.38,226885051713.53,534614894535.51,139607727700.61
2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.035697,2418841.0,1785.83,1864.88,1739.88,1840.26,909600.20653,996495.0,9.2058,9.93,9.0353,9.2,2867258.84,74162.0,0.0011997833333333,0.0009882833333333,0.0012513266666666,885213000000.0,211664734859.76813,2438555269.793112,92.0,61.6307,14.1325,1445387833199.8,196533919942.38,554584817406.62,115120166561.24
2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399,2058823.0,1840.24,1871.72,1765.0,1814.96,767589.07285,853189.0,9.2007,9.5117,8.658,8.7441,3487478.68,80835.0,0.0011918466666666,0.0016534666666666,0.0019687566666666,879358000000.0,208589629984.54648,2302393829.5062075,92.0,60.1672,14.3662,1471565274739.58,199354538960.94,586165706497.43,122892698038.44
2021-02-14,47156.78,49707.43,47014.17,48577.79,73735.475533,2090070.0,1815.25,1850.0,1784.11,1800.42,675261.77873,714827.0,8.7448,9.23,8.5293,8.7158,2889949.04,72201.0,0.0012690733333333,0.0013728899999999,0.0025375466666666,909605000000.0,207714210418.94653,2309317881.9757047,95.0,59.5947,14.1296,1472225150017.07,207685526841.64,594856368563.62,137486618774.05
2021-02-15,48580.47,49010.92,45570.79,47911.1,79398.156784,2313155.0,1800.03,1835.72,1655.67,1779.25,1053474.57879,1086589.0,8.7234,9.38,7.7,8.8516,3424896.19,74311.0,0.0007553666666666,0.0005814433333333,0.00028806,896245000000.0,204982692181.99188,2332143709.8748016,93.0,60.9341,13.9017,1489533291681.0,189560253079.69,581898850467.23,118295686923.93
