,timestamp,btc_prices,btc_market_cap,btc_volumes,eth_prices,eth_market_cap,eth_volumes,sol_prices,sol_market_cap,sol_volumes,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close,sol_open,sol_high,sol_low,sol_close
0,1750464000000,103290.105,2054120245608.2085,30632751225.407444,2405.695,290401843920.2328,20482816663.29469,140.04,74352627907.47485,4927733598.47951,106842.0,107644.0,102624.0,103290.0,2548.1,2613.23,2389.71,2405.7,150.92,154.02,136.98,140.04
1,1750809600000,105976.069,2107110352429.8032,31704641076.941063,2446.539,295402538889.65454,19669025068.963604,145.802,77418435219.14531,4365577695.258674,103292.0,106129.0,98467.0,105976.0,2406.19,2473.84,2134.88,2446.54,140.06,146.4,127.01,145.8
2,1751155200000,107331.585,2134239999929.6584,8960877693.57604,2437.133,294208600645.2538,5787313890.541637,150.781,80534347465.08652,3480663753.86231,106036.0,108116.0,105985.0,107332.0,2447.33,2510.28,2391.69,2437.13,145.92,152.15,137.98,150.78
3,1751500800000,108824.444,2163835371770.0977,36395184773.06136,2574.068,310930535640.4307,21862573614.17975,152.168,81356182087.82619,4586707670.749116,107333.0,109608.0,105402.0,108824.0,2436.76,2606.08,2393.31,2574.07,150.79,158.34,145.46,152.17
4,1751846400000,109215.198,2171497503296.0474,14638669497.351297,2571.358,310345645222.7514,9051659015.949968,151.921,81209567201.79767,3555730137.1277676,108876.0,110386.0,107386.0,109215.0,2572.33,2630.57,2478.63,2571.36,152.29,156.04,145.55,151.92
5,1752192000000,115879.65,2303292356999.7437,56204086624.04028,2948.446,355346738000.49475,39308824585.23128,163.858,87651094464.58328,10873010259.89518,109222.0,116462.0,107591.0,115880.0,2570.82,2979.89,2521.06,2948.45,151.92,164.76,147.99,163.86
6,1752537600000,119833.674,2383825813673.847,68915956378.80447,3012.18,363606274489.50854,41336421998.04408,162.282,87012722669.01315,14500503326.7985,115961.0,122838.0,115548.0,119834.0,2948.78,3074.13,2908.75,3012.18,163.75,168.18,158.26,162.28
7,1752883200000,117988.947,2347165317624.536,58896449260.69391,3547.317,427841866746.5711,72535524453.98022,177.37,95389053896.84322,18801332820.737236,119849.0,120689.0,116094.0,117989.0,3013.07,3669.85,2942.21,3547.32,162.28,184.13,157.97,177.37
8,1753228800000,119955.796,2387516761560.4927,58939000420.94166,3746.941,452355960897.77356,52357062545.19388,205.291,110388822982.47327,33288976911.758366,118003.0,120222.0,116779.0,119956.0,3548.42,3848.92,3523.94,3746.94,177.35,205.29,174.64,205.29
9,1753574400000,117959.542,2346959472845.027,25145925063.881348,3742.431,451746443518.379,25352434514.72998,184.94,99537260340.7252,6066268600.664028,119959.0,119959.0,115086.0,117960.0,3745.23,3773.65,3530.3,3742.43,205.19,205.19,176.94,184.94
