,date,btc_market_cap,eth_market_cap,sol_market_cap
110,2019-10-10,154262000000.0,20705717244.41888,
111,2019-10-11,149096000000.0,19554700913.817116,
112,2019-10-12,149721000000.0,19494162670.542446,
113,2019-10-13,149151000000.0,19621422029.848366,
114,2019-10-14,150157000000.0,20169516275.236813,
115,2019-10-15,146830000000.0,19497412495.622784,
116,2019-10-16,144024000000.0,18927980712.435215,
117,2019-10-17,145273000000.0,19154729973.641537,
118,2019-10-18,143252000000.0,18730861328.932087,
119,2019-10-19,143072000000.0,18568974273.58357,
120,2019-10-20,147861000000.0,18958103063.058914,
121,2019-10-21,147839000000.0,18853355079.83965,
122,2019-10-22,144570000000.0,18537783832.04837,
123,2019-10-23,134302000000.0,17464225552.303925,
124,2019-10-24,134251000000.0,17434007116.006287,
125,2019-10-25,155919000000.0,19616667018.47453,
126,2019-10-26,166615000000.0,19462917786.90324,
127,2019-10-27,172189000000.0,19990792916.262955,
128,2019-10-28,167897000000.0,19802719295.022167,
129,2019-10-29,169932000000.0,20673565380.73451,
130,2019-10-30,165472000000.0,19857659659.467438,
131,2019-10-31,164990000000.0,19768355318.52862,
132,2019-11-01,166738000000.0,19871724343.50992,
133,2019-11-02,167633000000.0,19834747308.111164,
134,2019-11-03,166016000000.0,19718787480.558216,
135,2019-11-04,169795000000.0,20168648362.295105,
136,2019-11-05,168231000000.0,20516176155.58626,
137,2019-11-06,168683000000.0,20772345043.562206,
138,2019-11-07,166099000000.0,20255795747.492107,
139,2019-11-08,158550000000.0,19961856525.120106,
140,2019-11-09,158915000000.0,20064530525.07171,
141,2019-11-10,163118000000.0,20509833608.791107,
142,2019-11-11,157189000000.0,20010251811.889503,
143,2019-11-12,158572000000.0,20246864946.49676,
144,2019-11-13,158186000000.0,20407190283.77138,
145,2019-11-14,156012000000.0,20054975322.906975,
146,2019-11-15,152790000000.0,19538785387.741634,
147,2019-11-16,153019000000.0,19790470061.03668,
148,2019-11-17,153531000000.0,19960271731.536537,
149,2019-11-18,147741000000.0,19336305595.120907,
150,2019-11-19,146551000000.0,19053218116.264065,
151,2019-11-20,145838000000.0,18944016603.379753,
152,2019-11-21,137468000000.0,17460004106.596848,
153,2019-11-22,131436000000.0,16272181579.667791,
154,2019-11-23,132302000000.0,16551224892.86039,
155,2019-11-24,125427000000.0,15384925842.0488,
156,2019-11-25,128974000000.0,15928557854.38412,
157,2019-11-26,129462000000.0,16080446911.775074,
158,2019-11-27,136003000000.0,16658918897.407133,
159,2019-11-28,134380000000.0,16417439365.284271,
160,2019-11-29,140023000000.0,16772143453.185652,
161,2019-11-30,136574000000.0,16530372699.186825,
