asset,horizon,date,mult,prob,outcome
btc,7,2021-11-30,1.05,0.3674,0
btc,7,2021-11-30,1.1,0.2123,0
btc,7,2021-12-07,0.9,0.8539,1
btc,7,2021-12-07,0.95,0.7395,1
btc,7,2021-12-07,1.0,0.5479,0
btc,7,2021-12-07,1.05,0.3449,0
btc,7,2021-12-07,1.1,0.2074,0
btc,7,2021-12-14,0.9,0.8476,1
btc,7,2021-12-14,0.95,0.7314,1
btc,7,2021-12-14,1.0,0.5436,1
btc,7,2021-12-14,1.05,0.3521,0
btc,7,2021-12-14,1.1,0.2128,0
btc,7,2021-12-21,0.9,0.854,1
btc,7,2021-12-21,0.95,0.7319,1
btc,7,2021-12-21,1.0,0.5378,0
btc,7,2021-12-21,1.05,0.3466,0
btc,7,2021-12-21,1.1,0.1949,0
btc,7,2021-12-28,0.9,0.8576,1
btc,7,2021-12-28,0.95,0.7468,1
btc,7,2021-12-28,1.0,0.5474,0
btc,7,2021-12-28,1.05,0.354,0
btc,7,2021-12-28,1.1,0.2,0
btc,7,2022-01-04,0.9,0.8611,1
btc,7,2022-01-04,0.95,0.7321,0
btc,7,2022-01-04,1.0,0.5333,0
btc,7,2022-01-04,1.05,0.3444,0
btc,7,2022-01-04,1.1,0.1965,0
btc,7,2022-01-11,0.9,0.856,1
btc,7,2022-01-11,0.95,0.7188,1
btc,7,2022-01-11,1.0,0.5226,0
btc,7,2022-01-11,1.05,0.3439,0
btc,7,2022-01-11,1.1,0.1977,0
btc,7,2022-01-18,0.9,0.8507,0
btc,7,2022-01-18,0.95,0.7156,0
btc,7,2022-01-18,1.0,0.5201,0
btc,7,2022-01-18,1.05,0.3306,0
btc,7,2022-01-18,1.1,0.1874,0
btc,7,2022-01-25,0.9,0.8443,1
btc,7,2022-01-25,0.95,0.7058,1
btc,7,2022-01-25,1.0,0.5116,1
btc,7,2022-01-25,1.05,0.3168,0
btc,7,2022-01-25,1.1,0.1839,0
btc,7,2022-02-01,0.9,0.8494,1
btc,7,2022-02-01,0.95,0.7181,1
btc,7,2022-02-01,1.0,0.5261,1
btc,7,2022-02-01,1.05,0.3265,1
btc,7,2022-02-01,1.1,0.1919,1
btc,7,2022-02-08,0.9,0.8483,1
btc,7,2022-02-08,0.95,0.7175,1
btc,7,2022-02-08,1.0,0.53,1
btc,7,2022-02-08,1.05,0.3349,0
btc,7,2022-02-08,1.1,0.1918,0
btc,7,2022-02-15,0.9,0.8491,0
btc,7,2022-02-15,0.95,0.7249,0
btc,7,2022-02-15,1.0,0.5322,0
btc,7,2022-02-15,1.05,0.3259,0
btc,7,2022-02-15,1.1,0.1934,0
btc,7,2022-02-22,0.9,0.8477,1
btc,7,2022-02-22,0.95,0.7078,1
btc,7,2022-02-22,1.0,0.5198,1
btc,7,2022-02-22,1.05,0.3193,1
btc,7,2022-02-22,1.1,0.1868,1
btc,7,2022-03-01,0.9,0.8445,0
btc,7,2022-03-01,0.95,0.7043,0
btc,7,2022-03-01,1.0,0.5141,0
btc,7,2022-03-01,1.05,0.3171,0
btc,7,2022-03-01,1.1,0.1935,0
btc,7,2022-03-08,0.9,0.8449,1
btc,7,2022-03-08,0.95,0.713,1
btc,7,2022-03-08,1.0,0.5225,1
btc,7,2022-03-08,1.05,0.3143,0
btc,7,2022-03-08,1.1,0.1847,0
btc,7,2022-03-15,0.9,0.8502,1
btc,7,2022-03-15,0.95,0.7127,1
btc,7,2022-03-15,1.0,0.5213,1
btc,7,2022-03-15,1.05,0.3177,1
btc,7,2022-03-15,1.1,0.1874,0
btc,7,2022-03-22,0.9,0.8536,1
btc,7,2022-03-22,0.95,0.7214,1
btc,7,2022-03-22,1.0,0.5218,1
btc,7,2022-03-22,1.05,0.3173,1
btc,7,2022-03-22,1.1,0.1836,1
btc,7,2022-03-29,0.9,0.8593,1
btc,7,2022-03-29,0.95,0.729,1
btc,7,2022-03-29,1.0,0.5319,0
btc,7,2022-03-29,1.05,0.3298,0
btc,7,2022-03-29,1.1,0.1924,0
btc,7,2022-04-05,0.9,0.8546,0
btc,7,2022-04-05,0.95,0.7285,0
btc,7,2022-04-05,1.0,0.5332,0
btc,7,2022-04-05,1.05,0.3285,0
btc,7,2022-04-05,1.1,0.1848,0
btc,7,2022-04-12,0.9,0.8563,1
btc,7,2022-04-12,0.95,0.7162,1
btc,7,2022-04-12,1.0,0.5177,1
btc,7,2022-04-12,1.05,0.3109,0
btc,7,2022-04-12,1.1,0.1752,0
btc,7,2022-04-19,0.9,0.8575,1
btc,7,2022-04-19,0.95,0.7202,0
btc,7,2022-04-19,1.0,0.5227,0
btc,7,2022-04-19,1.05,0.3202,0
btc,7,2022-04-19,1.1,0.1856,0
btc,7,2022-04-26,0.9,0.86,1
btc,7,2022-04-26,0.95,0.7189,1
btc,7,2022-04-26,1.0,0.5242,0
btc,7,2022-04-26,1.05,0.3093,0
btc,7,2022-04-26,1.1,0.1778,0
btc,7,2022-05-03,0.9,0.8571,0
btc,7,2022-05-03,0.95,0.7176,0
btc,7,2022-05-03,1.0,0.509,0
btc,7,2022-05-03,1.05,0.3064,0
btc,7,2022-05-03,1.1,0.1748,0
btc,7,2022-05-10,0.9,0.8592,1
btc,7,2022-05-10,0.95,0.7133,1
btc,7,2022-05-10,1.0,0.4968,0
btc,7,2022-05-10,1.05,0.2959,0
btc,7,2022-05-10,1.1,0.17,0
btc,7,2022-05-17,0.9,0.8455,1
btc,7,2022-05-17,0.95,0.7018,1
btc,7,2022-05-17,1.0,0.4886,0
btc,7,2022-05-17,1.05,0.294,0
btc,7,2022-05-17,1.1,0.1758,0
btc,7,2022-05-24,0.9,0.8533,1
btc,7,2022-05-24,0.95,0.709,1
btc,7,2022-05-24,1.0,0.4969,1
btc,7,2022-05-24,1.05,0.3049,1
btc,7,2022-05-24,1.1,0.1779,0
btc,7,2022-05-31,0.9,0.8548,1
btc,7,2022-05-31,0.95,0.716,1
btc,7,2022-05-31,1.0,0.5003,0
btc,7,2022-05-31,1.05,0.298,0
btc,7,2022-05-31,1.1,0.1711,0
btc,7,2022-06-07,0.9,0.8514,0
btc,7,2022-06-07,0.95,0.7124,0
btc,7,2022-06-07,1.0,0.4904,0
btc,7,2022-06-07,1.05,0.2933,0
btc,7,2022-06-07,1.1,0.1655,0
btc,7,2022-06-14,0.9,0.8414,1
btc,7,2022-06-14,0.95,0.7053,0
btc,7,2022-06-14,1.0,0.4786,0
btc,7,2022-06-14,1.05,0.2775,0
btc,7,2022-06-14,1.1,0.1596,0
btc,7,2022-06-21,0.9,0.848,1
btc,7,2022-06-21,0.95,0.7137,1
btc,7,2022-06-21,1.0,0.4908,0
btc,7,2022-06-21,1.05,0.2848,0
btc,7,2022-06-21,1.1,0.1631,0
btc,7,2022-06-28,0.9,0.8482,1
btc,7,2022-06-28,0.95,0.7109,1
btc,7,2022-06-28,1.0,0.4827,0
btc,7,2022-06-28,1.05,0.2866,0
btc,7,2022-06-28,1.1,0.1608,0
btc,7,2022-07-05,0.9,0.8438,1
btc,7,2022-07-05,0.95,0.7075,1
btc,7,2022-07-05,1.0,0.4831,0
btc,7,2022-07-05,1.05,0.2806,0
btc,7,2022-07-05,1.1,0.158,0
btc,7,2022-07-12,0.9,0.8454,1
btc,7,2022-07-12,0.95,0.7072,1
btc,7,2022-07-12,1.0,0.4829,1
btc,7,2022-07-12,1.05,0.2715,1
btc,7,2022-07-12,1.1,0.1563,1
btc,7,2022-07-19,0.9,0.8509,1
btc,7,2022-07-19,0.95,0.7172,0
btc,7,2022-07-19,1.0,0.4816,0
btc,7,2022-07-19,1.05,0.2831,0
btc,7,2022-07-19,1.1,0.165,0
btc,7,2022-07-26,0.9,0.8535,1
btc,7,2022-07-26,0.95,0.7161,1
btc,7,2022-07-26,1.0,0.485,1
btc,7,2022-07-26,1.05,0.2869,1
btc,7,2022-07-26,1.1,0.1608,0
btc,7,2022-08-02,0.9,0.8562,1
btc,7,2022-08-02,0.95,0.7188,1
btc,7,2022-08-02,1.0,0.4984,1
btc,7,2022-08-02,1.05,0.2914,0
btc,7,2022-08-02,1.1,0.159,0
btc,7,2022-08-09,0.9,0.8527,1
btc,7,2022-08-09,0.95,0.7154,1
btc,7,2022-08-09,1.0,0.4788,1
btc,7,2022-08-09,1.05,0.2809,0
btc,7,2022-08-09,1.1,0.1537,0
btc,7,2022-08-16,0.9,0.8578,1
btc,7,2022-08-16,0.95,0.7226,0
btc,7,2022-08-16,1.0,0.4969,0
btc,7,2022-08-16,1.05,0.2824,0
btc,7,2022-08-16,1.1,0.1594,0
btc,7,2022-08-23,0.9,0.8559,1
btc,7,2022-08-23,0.95,0.715,0
btc,7,2022-08-23,1.0,0.4831,0
btc,7,2022-08-23,1.05,0.2752,0
btc,7,2022-08-23,1.1,0.1491,0
btc,7,2022-08-30,0.9,0.8499,1
btc,7,2022-08-30,0.95,0.7053,0
btc,7,2022-08-30,1.0,0.4754,0
btc,7,2022-08-30,1.05,0.2711,0
btc,7,2022-08-30,1.1,0.1444,0
btc,7,2022-09-06,0.9,0.8553,1
btc,7,2022-09-06,0.95,0.7118,1
btc,7,2022-09-06,1.0,0.4753,1
btc,7,2022-09-06,1.05,0.2674,1
btc,7,2022-09-06,1.1,0.1433,0
btc,7,2022-09-13,0.9,0.8512,1
btc,7,2022-09-13,0.95,0.7069,0
btc,7,2022-09-13,1.0,0.4747,0
btc,7,2022-09-13,1.05,0.2779,0
btc,7,2022-09-13,1.1,0.1476,0
btc,7,2022-09-20,0.9,0.8482,1
btc,7,2022-09-20,0.95,0.6979,1
btc,7,2022-09-20,1.0,0.4739,1
btc,7,2022-09-20,1.05,0.2731,0
btc,7,2022-09-20,1.1,0.146,0
btc,7,2022-09-27,0.9,0.8561,1
btc,7,2022-09-27,0.95,0.7073,1
btc,7,2022-09-27,1.0,0.4726,1
btc,7,2022-09-27,1.05,0.2746,1
btc,7,2022-09-27,1.1,0.153,0
btc,7,2022-10-04,0.9,0.8545,1
btc,7,2022-10-04,0.95,0.707,0
btc,7,2022-10-04,1.0,0.4839,0
btc,7,2022-10-04,1.05,0.2717,0
btc,7,2022-10-04,1.1,0.143,0
btc,7,2022-10-11,0.9,0.8595,1
btc,7,2022-10-11,0.95,0.708,1
btc,7,2022-10-11,1.0,0.4807,1
btc,7,2022-10-11,1.05,0.2679,0
btc,7,2022-10-11,1.1,0.1427,0
btc,7,2022-10-18,0.9,0.8579,1
btc,7,2022-10-18,0.95,0.7064,1
btc,7,2022-10-18,1.0,0.4743,1
btc,7,2022-10-18,1.05,0.2656,0
btc,7,2022-10-18,1.1,0.1435,0
btc,7,2022-10-25,0.9,0.8555,1
btc,7,2022-10-25,0.95,0.7128,1
btc,7,2022-10-25,1.0,0.4817,1
btc,7,2022-10-25,1.05,0.2648,0
btc,7,2022-10-25,1.1,0.1418,0
btc,7,2022-11-01,0.9,0.8678,1
btc,7,2022-11-01,0.95,0.7284,0
btc,7,2022-11-01,1.0,0.49,0
btc,7,2022-11-01,1.05,0.2757,0
btc,7,2022-11-01,1.1,0.1418,0
btc,7,2022-11-08,0.9,0.8642,1
btc,7,2022-11-08,0.95,0.719,0
btc,7,2022-11-08,1.0,0.4866,0
btc,7,2022-11-08,1.05,0.2655,0
btc,7,2022-11-08,1.1,0.1351,0
btc,7,2022-11-15,0.9,0.8583,1
btc,7,2022-11-15,0.95,0.7197,1
btc,7,2022-11-15,1.0,0.4797,0
btc,7,2022-11-15,1.05,0.2691,0
btc,7,2022-11-15,1.1,0.1356,0
btc,7,2022-11-22,0.9,0.858,1
btc,7,2022-11-22,0.95,0.7191,1
btc,7,2022-11-22,1.0,0.4884,1
btc,7,2022-11-22,1.05,0.2627,0
btc,7,2022-11-22,1.1,0.1372,0
btc,7,2022-11-29,0.9,0.8624,1
btc,7,2022-11-29,0.95,0.7195,1
btc,7,2022-11-29,1.0,0.4746,1
btc,7,2022-11-29,1.05,0.2623,0
btc,7,2022-11-29,1.1,0.1351,0
btc,7,2022-12-06,0.9,0.8663,1
btc,7,2022-12-06,0.95,0.7271,1
btc,7,2022-12-06,1.0,0.4809,1
btc,7,2022-12-06,1.05,0.2584,0
btc,7,2022-12-06,1.1,0.1334,0
btc,7,2022-12-13,0.9,0.8652,1
btc,7,2022-12-13,0.95,0.7201,1
btc,7,2022-12-13,1.0,0.4787,0
